,NO2,PM10,O3_max,O3_8h,SO2,CO
2013-01-01,67,58,26,20,< 3,1.7
2013-01-02,49,78,16,15,4,1.4
2013-01-03,66,43,68,54,< 3,1.3
2013-01-04,60,41,36,21,< 3,0.7
2013-01-05,57,70,18,15,6,1.3
2013-01-06,51,82,27,19,6,1.5
2013-01-07,69,147,38,27,6,2.2
2013-01-08,57,93,37,21,< 3,2.0
2013-01-09,65,34,50,25,6,1.1
2013-01-10,,52,6,8,3,1.1
2013-01-11,66,67,10,9,5,0.8
2013-01-12,62,76,8,7,4,0.8
2013-01-13,53,42,21,15,3,0.8
2013-01-14,45,29,50,47,3,0.5
2013-01-15,60,19,60,54,,0.7
2013-01-16,50,18,49,32,,0.8
2013-01-17,33,4,69,64,< 3,0.3
2013-01-18,43,12,47,40,5,0.5
2013-01-19,79,36,30,26,6,0.6
2013-01-20,65,51,51,21,6,0.8
2013-01-21,48,21,65,56,< 3,0.7
2013-01-22,54,38,10,7,3,0.8
2013-01-23,63,33,31,15,3,0.7
2013-01-24,64,21,72,53,5,0.9
2013-01-25,82,14,70,66,6,0.5
2013-01-26,36,13,75,66,3,0.5
2013-01-27,98,42,51,53,8,0.9
2013-01-28,54,75,20,15,5,1.0
2013-01-29,69,55,68,49,< 3,0.9
2013-01-30,66,50,15,10,< 3,0.6
2013-01-31,68,62,21,11,< 3,0.7
2013-02-01,55,75,45,34,< 3,0.7
2013-02-02,55,72,48,31,5,0.6
2013-02-03,55,31,81,68,3,0.5
2013-02-04,91,14,90,78,5,0.8
2013-02-05,88,39,51,33,4,1.1
2013-02-06,71,43,43,30,3,1.2
2013-02-07,54,42,70,65,3,0.8
2013-02-08,93,22,79,71,4,0.9
2013-02-09,127,29,68,58,7,1.0
2013-02-10,72,28,76,62,3,0.6
2013-02-11,72,19,74,62,< 3,0.6
2013-02-12,,19,73,69,< 3,0.6
2013-02-13,83,27,74,,< 3,
2013-02-14,68,48,24,18,< 3,0.7
2013-02-15,103,53,,,5,0.8
2013-02-16,104,70,69,60,6,1.3
2013-02-17,92,41,89,80,3,1.1
2013-02-18,25,26,93,84,3,0.8
2013-02-19,76,30,94,91,3,0.7
2013-02-20,105,64,72,58,4,1.0
2013-02-21,87,71,56,43,4,
2013-02-22,25,13,77,67,4,0.7
2013-02-23,81,18,79,78,7,0.6
2013-02-24,45,29,89,79,4,0.6
2013-02-25,19,13,89,86,< 3,0.3
2013-02-26,69,18,90,84,< 3,0.5
2013-02-27,89,32,83,58,3,0.6
2013-02-28,59,39,43,25,< 3,0.6
2013-03-01,104,35,59,51,4,0.8
2013-03-02,94,58,91,58,< 3,0.7
2013-03-03,86,35,95,83,3,0.8
2013-03-04,94,66,105,73,3,1.1
2013-03-05,78,56,90,79,11,1.1
2013-03-06,,34,95,81,13,0.6
2013-03-07,,17,106,93,3,0.4
2013-03-08,61,16,62,60,3,0.5
2013-03-09,53,22,30,19,5,0.5
2013-03-10,52,24,40,31,< 3,0.5
2013-03-11,50,23,93,72,< 3,0.4
2013-03-12,81,19,83,72,4,0.4
2013-03-13,60,15,91,83,< 3,0.4
2013-03-14,51,11,93,79,< 3,0.3
