,NO2,PM10,O3_max,O3_8h,SO2,CO
2020-03-24,22,14,87,84,,
2020-03-25,18,11,79,78,,
2020-03-26,13,20,83,79,,
2020-03-27,8,21,74,71,,
2020-03-28,24,110,71,68,,
2020-03-29,27,134,102,94,,
2020-03-30,17,124,105,96,,
2020-03-31,14,36,83,78,,
2020-04-01,11,9,89,86,,
2020-04-02,15,21,96,91,,
2020-04-03,28,31,106,97,,
2020-04-04,21,33,119,113,,
2020-04-05,26,32,113,106,,
2020-04-06,10,20,105,100,,
2020-04-07,15,33,119,112,,
2020-04-08,15,28,113,107,,
2020-04-09,13,26,109,104,,
2020-04-10,25,29,127,114,,
2020-04-11,35,40,136,122,,
2020-04-12,25,40,142,135,,
2020-04-13,17,31,144,134,,
2020-04-14,13,30,113,106,,
2020-04-15,16,24,116,95,,
2020-04-16,12,15,100,91,,
2020-04-17,25,24,109,103,,
2020-04-18,18,25,123,107,,
2020-04-19,16,24,121,108,,
2020-04-20,14,26,123,112,,
2020-04-21,17,15,84,81,,
2020-04-22,10,19,97,93,,
2020-04-23,14,16,104,101,,
2020-04-24,15,25,121,115,,
2020-04-25,24,32,126,117,,
2020-04-26,14,32,130,123,,
2020-04-27,7,23,110,106,,
2020-04-28,11,21,111,106,,
2020-04-29,11,21,83,80,,
2020-04-30,13,8,92,,,
2020-05-01,17,11,99,87,,
2020-05-02,14,12,90,83,,
2020-05-03,12,15,110,99,,
2020-05-04,10,5,110,104,,
2020-05-05,15,10,116,108,,
2020-05-06,17,14,117,104,,
2020-05-07,19,12,99,93,,
2020-05-08,17,11,131,120,,
2020-05-09,20,18,127,118,,
2020-05-10,8,22,142,134,,
2020-05-11,6,26,114,112,,
2020-05-12,10,15,101,94,,
2020-05-13,11,7,99,85,,
2020-05-14,14,16,78,71,,
2020-05-15,18,23,109,94,,
2020-05-16,25,16,87,84,,
2020-05-17,18,18,101,94,,
2020-05-18,12,15,114,104,,
2020-05-19,17,18,114,100,,
2020-05-20,23,22,98,89,,
2020-05-21,29,14,104,94,,
2020-05-22,26,21,120,113,,
2020-05-23,20,15,127,117,,
2020-05-24,23,24,137,129,,
2020-05-25,19,5,106,103,,
2020-05-26,32,15,112,107,,
2020-05-27,16,12,98,94,,
2020-05-28,37,19,116,107,,
2020-05-29,28,18,128,119,,
2020-05-30,31,11,108,103,,
2020-05-31,40,6,108,102,,
2020-06-01,40,11,109,100,,
2020-06-02,14,26,127,118,,
2020-06-03,23,12,139,123,,
2020-06-04,32,21,132,120,,
2020-06-05,15,20,80,66,,
2020-06-06,12,13,101,95,,
2020-06-07,40,21,115,107,,
2020-06-08,33,13,89,80,,
