,NO2,PM10,O3_max,O3_8h,SO2,CO
2013-01-01,88.0,57,,,11,1.5
2013-01-02,99.0,108,,,13,1.6
2013-01-03,67.0,52,,,13,1.7
2013-01-04,69.0,31,,,7,0.5
2013-01-05,98.0,61,,,15,1.8
2013-01-06,122.0,94,,,17,2.1
2013-01-07,149.0,172,,,36,2.3
2013-01-08,103.0,113,,,21,1.6
2013-01-09,87.0,51,,,12,1.6
2013-01-10,85.0,68,,,4,1.2
2013-01-11,68.0,68,,,3,0.8
2013-01-12,80.0,81,,,3,1.1
2013-01-13,75.0,59,,,3,1.2
2013-01-14,52.0,37,,,3,1.1
2013-01-15,80.0,19,,,3,0.7
2013-01-16,76.0,26,,,4,0.7
2013-01-17,67.0,7,,,< 3,0.5
2013-01-18,81.0,21,,,3,0.9
2013-01-19,103.0,30,,,4,1.0
2013-01-20,93.0,59,,,3,1.0
2013-01-21,66.0,33,,,< 3,0.9
2013-01-22,62.0,32,,,< 3,0.9
2013-01-23,80.0,26,,,< 3,0.7
2013-01-24,93.0,28,,,< 3,0.8
2013-01-25,100.0,28,,,< 3,0.7
2013-01-26,97.0,25,,,3,0.8
2013-01-27,232.0,62,,,5,2.0
2013-01-28,94.0,105,,,5,2.6
2013-01-29,89.0,64,,,3,0.9
2013-01-30,71.0,38,,,< 3,0.8
2013-01-31,90.0,56,,,< 3,0.8
2013-02-01,102.0,63,,,< 3,0.8
2013-02-02,88.0,86,,,3,0.8
2013-02-03,66.0,41,,,< 3,0.7
2013-02-04,138.0,16,,,< 3,1.2
2013-02-05,207.0,59,,,4,1.6
2013-02-06,168.0,71,,,4,1.9
2013-02-07,82.0,39,,,< 3,1.3
2013-02-08,243.0,43,,,5,1.5
2013-02-09,151.0,56,,,6,2.0
2013-02-10,84.0,42,,,3,1.3
2013-02-11,97.0,24,,,< 3,0.6
2013-02-12,94.0,41,,,< 3,0.9
2013-02-13,97.0,,,,3,0.8
2013-02-14,133.0,,,,3,1.0
2013-02-15,236.0,48,,,5,1.4
2013-02-16,184.0,70,,,5,1.9
2013-02-17,220.0,71,,,5,1.7
2013-02-18,67.0,28,,,3,1.6
2013-02-19,143.0,46,,,4,0.9
2013-02-20,161.0,78,,,5,1.0
2013-02-21,122.0,85,,,6,1.5
2013-02-22,61.0,14,,,< 3,0.5
2013-02-23,89.0,29,,,3,0.7
2013-02-24,77.0,27,,,3,0.7
2013-02-25,36.0,14,,,4,0.4
2013-02-26,121.0,29,,,4,0.7
2013-02-27,104.0,28,,,3,0.7
2013-02-28,93.0,31,,,< 3,0.8
2013-03-01,134.0,34,,,3,1.0
2013-03-02,98.0,64,,,3,1.2
2013-03-03,112.0,48,,,,0.9
2013-03-04,163.0,87,,,,1.2
2013-03-05,151.0,64,,,,1.4
2013-03-06,117.0,62,,,8,1.0
2013-03-07,86.0,33,,,< 3,0.6
2013-03-08,95.0,25,,,< 3,0.5
2013-03-09,72.0,39,,,3,0.6
2013-03-10,80.0,37,,,< 3,0.5
2013-03-11,55.0,33,,,< 3,0.6
2013-03-12,95.0,26,,,< 3,0.3
2013-03-13,73.0,19,,,< 3,0.4
2013-03-14,82.0,17,,,< 3,0.3
2013-03-15,81.0,6,,,< 3,0.3
2013-03-16,90.0,15,,,3,
2013-03-17,60.0,20,,,3,0.4
2013-03-18,67.0,39,,,3,0.5
2013-03-19,64.0,12,,,< 3,0.4
2013-03-20,111.0,33,,,3,0.6
2013-03-21,107.0,42,,,3,0.8
2013-03-22,108.0,16,,,< 3,0.4
