,NO2,PM10,O3_max,O3_8h,SO2,CO
2020-03-24,,18,,,,
2020-03-25,,31,,,,
2020-03-26,,29,,,,
2020-03-27,,27,,,,
2020-03-28,,120,,,,
2020-03-29,,142,,,,
2020-03-30,,138,,,,
2020-03-31,,35,,,,
2020-04-01,,8,,,,
2020-04-02,,18,,,,
2020-04-03,,32,,,,
2020-04-04,,34,,,,
2020-04-05,,35,,,,
2020-04-06,,31,,,,
2020-04-07,,36,,,,
2020-04-08,,33,,,,
2020-04-09,,30,,,,
2020-04-10,,32,,,,
2020-04-11,,39,,,,
2020-04-12,,42,,,,
2020-04-13,,37,,,,
2020-04-14,,34,,,,
2020-04-15,,22,,,,
2020-04-16,,23,,,,
2020-04-17,,,,,,
2020-04-18,,30,,,,
2020-04-19,,31,,,,
2020-04-20,,26,,,,
2020-04-21,,28,,,,
2020-04-22,,28,,,,
2020-04-23,,26,,,,
2020-04-24,,24,,,,
2020-04-25,,28,,,,
2020-04-26,,32,,,,
2020-04-27,,23,,,,
2020-04-28,,30,,,,
2020-04-29,,27,,,,
2020-04-30,,13,,,,
2020-05-01,,17,,,,
2020-05-02,,10,,,,
2020-05-03,,21,,,,
2020-05-04,,< 4,,,,
2020-05-05,,13,,,,
2020-05-06,,22,,,,
2020-05-07,,14,,,,
2020-05-08,,17,,,,
2020-05-09,,22,,,,
2020-05-10,,27,,,,
2020-05-11,,32,,,,
2020-05-12,,18,,,,
2020-05-13,,9,,,,
2020-05-14,,25,,,,
2020-05-15,,32,,,,
2020-05-16,,18,,,,
2020-05-17,,24,,,,
2020-05-18,,18,,,,
2020-05-19,,27,,,,
2020-05-20,,34,,,,
2020-05-21,,18,,,,
2020-05-22,,14,,,,
2020-05-23,,19,,,,
2020-05-24,,22,,,,
2020-05-25,,4,,,,
2020-05-26,,14,,,,
2020-05-27,,13,,,,
2020-05-28,,12,,,,
2020-05-29,,24,,,,
2020-05-30,,13,,,,
2020-05-31,,17,,,,
2020-06-01,,12,,,,
2020-06-02,,14,,,,
2020-06-03,,17,,,,
2020-06-04,,30,,,,
2020-06-05,,17,,,,
2020-06-06,,13,,,,
2020-06-07,,22,,,,
2020-06-08,,17,,,,
2020-06-09,,12,,,,
2020-06-10,,11,,,,
2020-06-11,,16,,,,
2020-06-12,,14,,,,
2020-06-13,,20,,,,
2020-06-14,,23,,,,
2020-06-15,,15,,,,
2020-06-16,,15,,,,
2020-06-17,,18,,,,
2020-06-18,,15,,,,
2020-06-19,,17,,,,
2020-06-20,,17,,,,
2020-06-21,,13,,,,
2020-06-22,,10,,,,
2020-06-23,,12,,,,
2020-06-24,,20,,,,
2020-06-25,,,,,,
2020-06-26,,,,,,
2020-06-27,,,,,,
2020-06-28,,33,,,,
2020-06-29,,28,,,,
2020-06-30,,34,,,,
2020-07-01,,24,,,,
2020-07-02,,31,,,,
2020-07-03,,14,,,,
2020-07-04,,19,,,,
2020-07-05,,10,,,,
2020-07-06,,17,,,,
2020-07-07,,25,,,,
2020-07-08,,17,,,,
2020-07-09,,19,,,,
2020-07-10,,30,,,,
2020-07-11,,29,,,,
2020-07-12,,21,,,,
2020-07-13,,9,,,,
2020-07-14,,16,,,,
2020-07-15,,20,,,,
2020-07-16,,25,,,,
2020-07-17,,21,,,,
2020-07-18,,14,,,,
2020-07-19,,11,,,,
2020-07-20,,13,,,,
2020-07-21,,15,,,,
2020-07-22,,18,,,,
2020-07-23,,,,,,
2020-07-24,,14,,,,
2020-07-25,,12,,,,
2020-07-26,,14,,,,
2020-07-27,,15,,,,
2020-07-28,,15,,,,
2020-07-29,,27,,,,
2020-07-30,,27,,,,
2020-07-31,,40,,,,
2020-08-01,,42,,,,
2020-08-02,,35,,,,
2020-08-03,,14,,,,
2020-08-04,,16,,,,
2020-08-05,,14,,,,
2020-08-06,,10,,,,
2020-08-07,,17,,,,
2020-08-08,,22,,,,
2020-08-09,,25,,,,
2020-08-10,,25,,,,
2020-08-11,,36,,,,
2020-08-12,,28,,,,
2020-08-13,,23,,,,
2020-08-14,,39,,,,
2020-08-15,,19,,,,
2020-08-16,,13,,,,
2020-08-17,,15,,,,
2020-08-18,,17,,,,
2020-08-19,,21,,,,
2020-08-20,,15,,,,
2020-08-21,,,,,,
2020-08-22,,19,,,,
2020-08-23,,19,,,,
2020-08-24,,15,,,,
2020-08-25,,16,,,,
2020-08-26,,12,,,,
2020-08-27,,26,,,,
2020-08-28,,27,,,,
2020-08-29,,36,,,,
2020-08-30,,21,,,,
2020-08-31,,10,,,,
2020-09-01,,16,,,,
2020-09-02,,11,,,,
2020-09-03,,11,,,,
2020-09-04,,13,,,,
2020-09-05,,22,,,,
2020-09-06,,32,,,,
2020-09-07,,37,,,,
2020-09-08,,22,,,,
2020-09-09,,17,,,,
2020-09-10,,25,,,,
2020-09-11,,34,,,,
2020-09-12,,24,,,,
2020-09-13,,28,,,,
2020-09-14,,31,,,,
2020-09-15,,35,,,,
2020-09-16,,38,,,,
2020-09-17,,40,,,,
2020-09-18,,32,,,,
2020-09-19,,18,,,,
2020-09-20,,24,,,,
2020-09-21,,28,,,,
2020-09-22,,33,,,,
2020-09-23,,25,,,,
2020-09-24,,22,,,,
2020-09-25,,27,,,,
2020-09-26,,12,,,,
2020-09-27,,5,,,,
2020-09-28,,9,,,,
2020-09-29,,4,,,,
2020-09-30,,18,,,,
2020-10-01,,33,,,,
2020-10-02,,49,,,,
2020-10-03,,35,,,,
2020-10-04,,16,,,,
2020-10-05,,11,,,,
2020-10-06,,13,,,,
2020-10-07,,23,,,,
2020-10-08,,8,,,,
2020-10-09,,28,,,,
2020-10-10,,32,,,,
2020-10-11,,60,,,,
2020-10-12,,12,,,,
2020-10-13,,9,,,,
2020-10-14,,14,,,,
2020-10-15,,34,,,,
2020-10-16,,10,,,,
2020-10-17,,11,,,,
2020-10-18,,30,,,,
2020-10-19,,27,,,,
2020-10-20,,36,,,,
2020-10-21,,53,,,,
2020-10-22,,71,,,,
2020-10-23,,77,,,,
2020-10-24,,91,,,,
2020-10-25,,50,,,,
2020-10-26,,32,,,,
2020-10-27,,28,,,,
2020-10-28,,6,,,,
2020-10-29,,34,,,,
2020-10-30,,39,,,,
2020-10-31,,60,,,,
2020-11-01,,73,,,,
2020-11-02,,63,,,,
2020-11-03,,59,,,,
2020-11-04,,74,,,,
2020-11-05,,51,,,,
2020-11-06,,22,,,,
2020-11-07,,50,,,,
2020-11-08,,46,,,,
2020-11-09,,58,,,,
2020-11-10,,70,,,,
2020-11-11,,53,,,,
2020-11-12,,33,,,,
2020-11-13,,39,,,,
2020-11-14,,78,,,,
2020-11-15,,73,,,,
2020-11-16,,64,,,,
2020-11-17,,53,,,,
2020-11-18,,33,,,,
2020-11-19,,38,,,,
2020-11-20,,40,,,,
2020-11-21,,22,,,,
2020-11-22,,16,,,,
2020-11-23,,33,,,,
2020-11-24,,73,,,,
2020-11-25,,47,,,,
2020-11-26,,65,,,,
2020-11-27,,90,,,,
2020-11-28,,97,,,,
2020-11-29,,75,,,,
2020-11-30,,23,,,,
2020-12-01,,38,,,,
2020-12-02,,46,,,,
2020-12-03,,23,,,,
2020-12-04,,29,,,,
2020-12-05,,36,,,,
2020-12-06,,23,,,,
2020-12-07,,10,,,,
2020-12-08,,20,,,,
2020-12-09,,12,,,,
2020-12-10,,17,,,,
2020-12-11,,25,,,,
2020-12-12,,47,,,,
2020-12-13,,41,,,,
2020-12-14,,40,,,,
