,NO2,PM10,O3_max,O3_8h,SO2,CO
2013-01-01,107.0,78,,,,2.1
2013-01-02,54.0,115,,,,1.8
2013-01-03,,57,60,48,,1.7
2013-01-04,86.0,37,46,35,,1.1
2013-01-05,81.0,73,67,53,,1.8
2013-01-06,86.0,82,72,59,,2.0
2013-01-07,99.0,108,,,,2.3
2013-01-08,79.0,,82,62,,2.2
2013-01-09,95.0,,55,46,,1.6
2013-01-10,74.0,68,52,46,,1.5
2013-01-11,78.0,79,66,46,,1.2
2013-01-12,87.0,90,71,59,,1.4
2013-01-13,76.0,53,59,59,,1.5
2013-01-14,48.0,41,64,56,,1.2
2013-01-15,64.0,25,52,46,,0.6
2013-01-16,65.0,23,33,23,,0.7
2013-01-17,40.0,8,46,42,,0.4
2013-01-18,74.0,20,39,39,,0.9
2013-01-19,87.0,34,55,38,,1.1
2013-01-20,78.0,58,52,45,,1.3
2013-01-21,57.0,35,53,48,,0.9
2013-01-22,59.0,36,26,28,,0.9
2013-01-23,68.0,32,29,25,,0.8
2013-01-24,75.0,29,,,,
2013-01-25,94.0,26,37,31,,0.7
2013-01-26,72.0,23,58,45,,0.8
2013-01-27,145.0,62,84,66,,1.7
2013-01-28,87.0,102,80,75,,2.1
2013-01-29,78.0,76,62,52,,1.2
2013-01-30,67.0,48,34,44,,1.2
2013-01-31,81.0,63,51,42,,
2013-02-01,80.0,70,51,44,,1.0
2013-02-02,79.0,74,50,44,,1.0
2013-02-03,60.0,45,57,48,,0.9
2013-02-04,104.0,14,80,64,,0.9
2013-02-05,131.0,51,64,47,,1.5
2013-02-06,122.0,71,70,54,,1.7
2013-02-07,75.0,41,58,58,,1.6
2013-02-08,140.0,46,67,50,,1.4
2013-02-09,131.0,60,66,61,,1.8
2013-02-10,93.0,48,63,53,,1.4
2013-02-11,86.0,27,74,63,,0.6
2013-02-12,,,,53,,0.9
2013-02-13,,,,,,
2013-02-14,,54,,,,
2013-02-15,172.0,54,61,45,,1.4
2013-02-16,137.0,76,,,,
2013-02-17,137.0,61,,,,1.6
2013-02-18,55.0,26,,,,1.1
2013-02-19,129.0,,,,,1.0
2013-02-20,121.0,,83,68,,1.3
2013-02-21,117.0,92,57,51,,1.5
2013-02-22,66.0,14,51,46,,0.7
2013-02-23,86.0,27,57,54,,0.6
2013-02-24,56.0,28,68,60,,0.6
2013-02-25,42.0,16,74,69,,0.4
2013-02-26,107.0,23,70,65,,0.6
2013-02-27,107.0,34,84,73,,0.7
2013-02-28,74.0,33,44,35,,0.8
2013-03-01,122.0,40,67,51,,1.1
2013-03-02,125.0,80,77,55,,1.6
2013-03-03,106.0,53,71,59,,1.3
2013-03-04,129.0,90,106,86,,1.5
2013-03-05,151.0,72,74,63,,1.6
2013-03-06,110.0,72,72,60,,1.4
2013-03-07,68.0,35,68,58,,0.6
2013-03-08,79.0,30,47,43,,0.6
2013-03-09,63.0,47,22,19,,0.7
2013-03-10,73.0,42,36,31,,0.7
2013-03-11,47.0,34,74,61,,0.7
2013-03-12,99.0,29,75,56,,0.5
2013-03-13,48.0,21,68,62,,0.5
2013-03-14,66.0,22,,,,
2013-03-15,61.0,4,55,50,,0.4
2013-03-16,79.0,12,70,66,,0.4
2013-03-17,86.0,23,85,80,,0.5
2013-03-18,88.0,35,88,76,,0.6
2013-03-19,49.0,15,91,87,,0.3
2013-03-20,93.0,27,88,72,,0.6
2013-03-21,101.0,45,67,52,,0.8
2013-03-22,75.0,12,88,79,,0.5
2013-03-23,,26,,,,
2013-03-24,80.0,40,80,73,,
2013-03-25,27.0,16,69,64,,
2013-03-26,66.0,17,70,68,,
2013-03-27,87.0,26,68,64,,
2013-03-28,92.0,28,77,66,,
2013-03-29,93.0,48,62,53,,
2013-03-30,72.0,33,76,61,,0.7
2013-03-31,50.0,33,65,54,,0.8
2013-04-01,36.0,6,76,72,,0.5
2013-04-02,54.0,14,88,83,,0.6
2013-04-03,49.0,9,82,73,,0.6
2013-04-04,65.0,16,92,82,,0.4
2013-04-05,76.0,22,88,79,,0.6
2013-04-06,52.0,12,85,75,,0.4
2013-04-07,71.0,15,84,75,,0.5
2013-04-08,30.0,10,83,80,,0.5
2013-04-09,76.0,16,77,77,,0.4
2013-04-10,42.0,30,88,79,,0.4
2013-04-11,53.0,34,101,85,,0.5
2013-04-12,67.0,38,94,88,,0.6
2013-04-13,107.0,35,80,62,,0.5
2013-04-14,69.0,26,98,86,,0.6
2013-04-15,56.0,31,113,102,,0.5
2013-04-16,67.0,43,115,105,,0.5
2013-04-17,81.0,38,100,96,,0.6
2013-04-18,112.0,50,92,,,0.6
2013-04-19,,,115,,,
2013-04-20,,,117,,,
2013-04-21,38.0,23,78,70,,0.5
2013-04-22,34.0,25,88,66,,0.5
2013-04-23,60.0,13,56,54,,0.5
2013-04-24,85.0,18,104,82,,0.6
2013-04-25,,24,116,105,,0.6
2013-04-26,61.0,29,134,122,,0.6
2013-04-27,57.0,28,98,91,,0.6
2013-04-28,36.0,33,77,59,,0.5
2013-04-29,39.0,24,87,79,,0.5
2013-04-30,48.0,31,72,59,,0.5
2013-05-01,88.0,35,44,32,,0.8
2013-05-02,44.0,37,106,93,,0.9
2013-05-03,51.0,41,67,,,0.5
2013-05-04,45.0,37,82,,,0.5
2013-05-05,68.0,58,100,88,,0.6
2013-05-06,23.0,36,88,80,,0.6
2013-05-07,31.0,12,72,57,,0.4
2013-05-08,77.0,32,66,46,,0.5
2013-05-09,60.0,21,97,83,,0.5
2013-05-10,107.0,27,127,109,,0.5
2013-05-11,43.0,36,93,68,,0.6
2013-05-12,39.0,7,60,54,,0.4
2013-05-13,29.0,< 4,94,87,,0.3
2013-05-14,66.0,4,97,92,,0.3
2013-05-15,64.0,11,108,100,,0.3
2013-05-16,53.0,20,108,97,,0.3
2013-05-17,24.0,28,76,79,,0.2
2013-05-18,45.0,13,64,58,,0.3
2013-05-19,31.0,13,96,90,,0.2
2013-05-20,28.0,< 4,90,86,,0.2
2013-05-21,51.0,8,104,96,,0.3
2013-05-22,43.0,16,102,93,,0.3
2013-05-23,80.0,17,106,101,,0.3
2013-05-24,45.0,9,88,76,,0.4
2013-05-25,37.0,7,77,67,,0.2
2013-05-26,31.0,6,79,76,,0.2
2013-05-27,24.0,6,112,102,,0.2
2013-05-28,38.0,19,116,107,,0.2
2013-05-29,34.0,22,102,91,,0.2
2013-05-30,41.0,9,92,85,,0.2
2013-05-31,54.0,18,78,64,,0.2
2013-06-01,63.0,23,63,44,,0.3
2013-06-02,51.0,12,89,77,,0.3
2013-06-03,42.0,13,90,80,,0.3
2013-06-04,61.0,14,101,86,,0.3
2013-06-05,60.0,12,115,101,,0.3
2013-06-06,56.0,15,111,96,,0.3
2013-06-07,49.0,21,112,98,,0.3
2013-06-08,64.0,22,129,117,,0.3
2013-06-09,35.0,20,149,136,,0.3
2013-06-10,32.0,18,111,97,,0.3
2013-06-11,58.0,16,119,108,,0.2
