,NO2,PM10,O3_max,O3_8h,SO2,CO
2013-01-01,114.0,60,32,15,6,1.9
2013-01-02,85.0,121,5,4,4,1.9
2013-01-03,72.0,52,19,12,3,2.0
2013-01-04,71.0,36,20,10,5,1.0
2013-01-05,90.0,71,13,6,,2.0
2013-01-06,90.0,100,10,6,8,2.3
2013-01-07,111.0,226,32,13,6,2.7
2013-01-08,99.0,115,4,< 4,5,2.6
2013-01-09,88.0,46,9,5,3,1.7
2013-01-10,72.0,69,< 4,< 4,3,1.4
2013-01-11,75.0,72,7,4,4,1.1
2013-01-12,76.0,89,9,5,4,1.4
2013-01-13,76.0,55,22,12,3,1.4
2013-01-14,55.0,36,39,33,< 3,1.3
2013-01-15,67.0,20,50,41,5,0.7
2013-01-16,66.0,23,21,10,6,0.7
2013-01-17,39.0,8,48,42,6,0.6
2013-01-18,70.0,23,38,37,6,1.0
2013-01-19,83.0,38,28,11,4,1.1
2013-01-20,89.0,54,21,12,4,1.3
2013-01-21,65.0,33,30,26,3,1.1
2013-01-22,59.0,35,4,< 4,3,1.1
2013-01-23,74.0,31,21,10,< 3,0.8
2013-01-24,89.0,28,35,22,8,1.1
2013-01-25,80.0,30,31,16,4,0.8
2013-01-26,68.0,24,53,41,5,0.9
2013-01-27,160.0,59,48,37,5,1.7
2013-01-28,91.0,100,38,23,5,2.3
2013-01-29,88.0,75,11,5,4,1.4
2013-01-30,68.0,43,7,5,3,0.8
2013-01-31,77.0,60,15,8,,1.1
2013-02-01,90.0,74,21,10,,1.2
2013-02-02,69.0,75,19,11,6,1.0
2013-02-03,61.0,38,66,55,7,1.0
2013-02-04,95.0,18,74,58,< 3,1.1
2013-02-05,141.0,67,53,31,< 3,1.7
2013-02-06,139.0,73,16,7,6,2.1
2013-02-07,71.0,41,51,33,4,1.5
2013-02-08,182.0,56,50,30,3,1.5
2013-02-09,132.0,57,54,37,,2.0
2013-02-10,77.0,44,50,34,3,1.4
2013-02-11,72.0,24,64,50,< 3,0.6
2013-02-12,82.0,36,66,57,4,0.9
2013-02-13,96.0,,67,65,5,1.1
2013-02-14,112.0,54,22,14,3,1.2
2013-02-15,174.0,53,47,33,6,1.4
2013-02-16,151.0,72,59,40,7,2.0
2013-02-17,143.0,62,78,62,5,2.3
2013-02-18,57.0,27,75,69,3,1.2
2013-02-19,130.0,47,84,69,3,1.0
2013-02-20,118.0,75,65,50,3,1.2
2013-02-21,113.0,82,50,37,5,1.4
2013-02-22,65.0,14,59,46,< 3,0.7
2013-02-23,83.0,24,63,57,4,0.6
2013-02-24,79.0,24,75,61,4,0.6
2013-02-25,28.0,15,80,73,3,0.5
2013-02-26,120.0,27,76,66,3,0.8
2013-02-27,95.0,,80,62,< 3,0.9
2013-02-28,83.0,32,25,14,< 3,1.0
2013-03-01,122.0,37,61,48,3,1.2
2013-03-02,84.0,67,63,38,< 3,1.6
2013-03-03,113.0,46,73,63,5,1.0
2013-03-04,130.0,88,89,70,,1.6
2013-03-05,131.0,66,71,59,8,1.8
2013-03-06,110.0,62,66,55,9,1.2
2013-03-07,69.0,29,54,37,< 3,0.8
2013-03-08,74.0,23,45,36,4,0.6
2013-03-09,,38,10,4,,0.8
2013-03-10,69.0,37,23,15,,0.8
2013-03-11,48.0,35,65,54,< 3,0.8
2013-03-12,78.0,28,82,54,,0.7
2013-03-13,53.0,18,67,62,3,0.5
2013-03-14,69.0,15,62,47,< 3,0.4
2013-03-15,60.0,11,52,45,< 3,0.5
2013-03-16,81.0,16,74,67,3,0.4
2013-03-17,62.0,22,89,80,< 3,0.4
2013-03-18,64.0,31,87,77,5,0.5
2013-03-19,59.0,10,90,87,5,0.5
2013-03-20,85.0,39,87,65,3,0.7
2013-03-21,94.0,43,57,45,3,0.9
2013-03-22,97.0,17,92,78,3,0.6
2013-03-23,112.0,25,94,88,4,0.6
2013-03-24,78.0,35,86,76,3,0.8
2013-03-25,19.0,20,74,72,< 3,0.6
2013-03-26,66.0,20,77,74,5,0.5
2013-03-27,71.0,26,71,65,4,0.7
