,NO2,PM10,O3_max,O3_8h,SO2,CO
2013-01-01,115.0,64.0,35,19,15,2.7
2013-01-02,75.0,144.0,10,7,13,3
2013-01-03,68.0,52.0,25,16,10,1.8
2013-01-04,77.0,40.0,30,18,12,1.5
2013-01-05,81.0,79.0,13,9,10,2.2
2013-01-06,71.0,97.0,18,11,7,2.3
2013-01-07,106.0,220.0,29,16,5,2.9
2013-01-08,78.0,116.0,7,7,4,2.7
2013-01-09,78.0,43.0,10,8,4,1.5
2013-01-10,72.0,68.0,6,6,4,1.4
2013-01-11,78.0,77.0,13,7,4,1.6
2013-01-12,73.0,89.0,15,7,3,1.9
2013-01-13,72.0,54.0,25,15,5,2
2013-01-14,55.0,39.0,44,38,< 3,1.2
2013-01-15,63.0,21.0,54,46,5,0.8
2013-01-16,63.0,25.0,22,13,4,0.8
2013-01-17,42.0,10.0,55,48,3,0.6
2013-01-18,71.0,22.0,40,41,3,1
2013-01-19,82.0,39.0,36,18,4,1.4
2013-01-20,78.0,58.0,25,15,3,1.7
2013-01-21,65.0,34.0,36,30,,1.1
2013-01-22,58.0,35.0,7,5,< 3,1.2
2013-01-23,73.0,30.0,29,15,< 3,0.9
2013-01-24,80.0,26.0,48,31,16,1.1
2013-01-25,83.0,28.0,41,22,5,0.8
2013-01-26,73.0,24.0,58,45,7,0.8
2013-01-27,120.0,61.0,52,40,5,2.1
2013-01-28,95.0,96.0,43,28,7,2.4
2013-01-29,87.0,68.0,15,8,3,1.6
2013-01-30,74.0,42.0,10,8,< 3,1.1
2013-01-31,87.0,57.0,16,11,3,1.1
2013-02-01,95.0,72.0,26,16,3,1.2
2013-02-02,73.0,71.0,24,14,6,1.1
2013-02-03,63.0,41.0,73,61,4,0.9
2013-02-04,91.0,24.0,72,63,3,1.2
2013-02-05,121.0,54.0,45,28,3,2.1
2013-02-06,119.0,64.0,16,9,5,2.4
2013-02-07,68.0,39.0,53,39,3,1.7
2013-02-08,161.0,44.0,47,31,3,1.7
2013-02-09,120.0,55.0,57,39,4,2.1
2013-02-10,78.0,44.0,56,39,4,1.8
2013-02-11,61.0,26.0,69,54,3,0.7
2013-02-12,70.0,37.0,68,56,3,0.9
2013-02-13,102.0,34.0,70,68,5,1.6
2013-02-14,109.0,51.0,37,19,3,1.7
2013-02-15,141.0,52.0,57,38,5,1.8
2013-02-16,141.0,69.0,56,37,6,2.6
2013-02-17,113.0,61.0,79,61,4,2.8
2013-02-18,47.0,28.0,79,71,4,1.8
2013-02-19,118.0,41.0,84,71,5,1.6
2013-02-20,115.0,73.0,71,57,3,1.3
2013-02-21,111.0,80.0,53,36,5,1.5
2013-02-22,61.0,14.0,61,48,3,0.7
2013-02-23,85.0,24.0,65,61,5,0.6
2013-02-24,73.0,24.0,79,63,3,0.6
2013-02-25,28.0,16.0,82,76,5,0.4
2013-02-26,115.0,26.0,75,66,4,0.9
2013-02-27,91.0,24.0,83,68,4,0.9
2013-02-28,86.0,29.0,30,18,< 3,1.2
2013-03-01,129.0,36.0,67,53,5,1.8
2013-03-02,93.0,70.0,67,40,4,2.2
2013-03-03,96.0,50.0,74,64,7,1.7
2013-03-04,101.0,85.0,92,70,< 3,1.9
2013-03-05,129.0,64.0,72,58,7,2
2013-03-06,103.0,56.0,66,54,12,1.2
2013-03-07,68.0,30.0,62,42,< 3,0.9
2013-03-08,81.0,,,38,< 3,0.5
2013-03-09,,,,,,
2013-03-10,62.0,39.0,25,19,3,0.8
2013-03-11,44.0,33.0,70,59,< 3,0.9
2013-03-12,79.0,28.0,83,58,3,0.7
2013-03-13,56.0,20.0,72,60,6,0.5
2013-03-14,63.0,19.0,56,49,< 3,0.4
2013-03-15,58.0,13.0,63,52,4,0.5
2013-03-16,85.0,19.0,74,71,< 3,0.6
2013-03-17,59.0,23.0,90,82,4,0.6
2013-03-18,54.0,34.0,90,78,< 3,0.6
2013-03-19,58.0,,94,88,< 3,0.5
2013-03-20,87.0,33.0,87,68,4,0.7
2013-03-21,81.0,44.0,51,41,3,0.9
2013-03-22,90.0,15.0,98,83,< 3,0.6
2013-03-23,106.0,25.0,97,88,4,0.7
2013-03-24,74.0,34.0,91,80,3,0.8
2013-03-25,27.0,22.0,78,75,< 3,0.6
2013-03-26,65.0,21.0,82,77,5,0.5
2013-03-27,77.0,29.0,73,67,5,0.7
2013-03-28,83.0,29.0,78,68,6,0.7
2013-03-29,78.0,45.0,60,45,7,0.7
2013-03-30,80.0,28.0,70,52,< 3,0.7
2013-03-31,58.0,31.0,73,58,< 3,0.8
2013-04-01,42.0,8.0,87,82,< 3,0.5
2013-04-02,49.0,18.0,96,92,6,0.5
2013-04-03,45.0,16.0,96,86,6,0.5
2013-04-04,85.0,16.0,98,88,< 3,0.5
2013-04-05,71.0,23.0,92,83,6,0.5
2013-04-06,68.0,13.0,88,79,< 3,0.6
2013-04-07,56.0,17.0,90,81,4,0.6
2013-04-08,24.0,15.0,90,87,8,0.6
2013-04-09,65.0,17.0,91,85,8,0.6
2013-04-10,62.0,27.0,90,83,5,0.5
2013-04-11,57.0,31.0,101,85,3,0.5
2013-04-12,78.0,36.0,109,93,6,0.5
2013-04-13,83.0,30.0,87,68,< 3,0.5
2013-04-14,62.0,25.0,111,100,< 3,0.6
2013-04-15,42.0,29.0,123,109,5,0.5
2013-04-16,74.0,47.0,120,107,4,0.6
2013-04-17,74.0,37.0,113,105,4,0.6
2013-04-18,113.0,42.0,127,106,4,0.6
2013-04-19,61.0,50.0,137,113,< 3,0.6
2013-04-20,90.0,47.0,133,126,5,0.7
2013-04-21,66.0,28.0,117,103,4,0.5
2013-04-22,33.0,26.0,112,95,4,0.5
2013-04-23,89.0,17.0,91,83,< 3,0.5
2013-04-24,93.0,20.0,112,96,3,0.6
2013-04-25,88.0,20.0,120,105,3,0.8
2013-04-26,46.0,26.0,134,125,< 3,0.5
2013-04-27,71.0,28.0,103,92,3,0.6
2013-04-28,43.0,32.0,90,72,3,0.5
2013-04-29,35.0,22.0,97,90,4,0.4
2013-04-30,61.0,28.0,91,79,< 3,0.4
2013-05-01,84.0,35.0,48,41,< 3,0.8
2013-05-02,56.0,33.0,114,108,5,0.8
2013-05-03,52.0,34.0,87,,3,0.5
2013-05-04,42.0,35.0,94,,< 3,0.5
2013-05-05,56.0,41.0,107,98,3,0.6
2013-05-06,44.0,34.0,101,93,4,0.6
2013-05-07,44.0,12.0,81,69,3,0.4
2013-05-08,78.0,19.0,74,49,< 3,0.6
2013-05-09,75.0,19.0,104,96,6,0.6
2013-05-10,107.0,26.0,134,118,3,0.7
2013-05-11,67.0,36.0,96,73,3,0.8
2013-05-12,41.0,10.0,69,63,< 3,0.4
2013-05-13,39.0,9.0,101,95,< 3,0.3
2013-05-14,57.0,10.0,102,97,< 3,0.3
2013-05-15,60.0,15.0,110,102,4,0.4
2013-05-16,55.0,17.0,112,102,9,0.4
2013-05-17,27.0,22.0,82,84,3,0.3
2013-05-18,45.0,17.0,80,79,< 3,0.3
2013-05-19,34.0,14.0,105,99,4,0.3
2013-05-20,19.0,11.0,98,92,< 3,0.3
2013-05-21,55.0,11.0,111,103,< 3,0.3
2013-05-22,47.0,14.0,106,99,< 3,0.3
2013-05-23,73.0,14.0,109,103,< 3,0.4
2013-05-24,61.0,14.0,92,,3,0.4
2013-05-25,31.0,7.0,86,74,,
2013-05-26,30.0,7.0,88,81,< 3,0.3
2013-05-27,26.0,9.0,115,106,< 3,0.3
2013-05-28,36.0,14.0,117,109,< 3,0.4
2013-05-29,49.0,19.0,104,92,4,0.3
2013-05-30,51.0,13.0,96,86,< 3,0.3
2013-05-31,57.0,16.0,79,62,< 3,0.4
2013-06-01,66.0,25.0,58,41,< 3,0.4
2013-06-02,52.0,11.0,94,81,3,0.4
2013-06-03,32.0,14.0,99,89,6,0.5
