,NO2,PM10,O3_max,O3_8h,SO2,CO
2013-01-01,40,42,28,19,,
2013-01-02,40,69,13,9,,
2013-01-03,33,43,58,54,,
2013-01-04,42,40,37,22,,
2013-01-05,40,60,12,8,,
2013-01-06,42,74,9,8,,
2013-01-07,72,143,17,11,,
2013-01-08,40,98,12,7,,
2013-01-09,39,35,34,22,,
2013-01-10,39,57,6,6,,
2013-01-11,42,69,9,8,,
2013-01-12,45,80,7,6,,
2013-01-13,38,45,17,15,,
2013-01-14,37,34,47,45,,
2013-01-15,34,17,57,,,
2013-01-16,44,21,51,33,,
2013-01-17,26,4,66,62,,
2013-01-18,46,13,48,43,,
2013-01-19,52,30,40,29,,
2013-01-20,48,44,49,22,,
2013-01-21,44,20,62,55,,
2013-01-22,57,39,11,4,,
2013-01-23,51,31,36,30,,
2013-01-24,33,14,69,52,,
2013-01-25,49,15,63,58,,
2013-01-26,45,18,71,62,,
2013-01-27,44,43,55,50,,
2013-01-28,47,67,22,18,,
2013-01-29,67,61,57,37,,
2013-01-30,61,46,13,12,,
2013-01-31,55,58,19,13,,
2013-02-01,51,69,44,33,,
2013-02-02,46,73,44,32,,
2013-02-03,44,40,76,67,,
2013-02-04,31,9,83,73,,
2013-02-05,42,26,57,38,,
2013-02-06,56,39,44,38,,
2013-02-07,43,37,74,66,,
2013-02-08,39,20,71,63,,
2013-02-09,49,26,66,57,,
2013-02-10,38,18,75,64,,
2013-02-11,25,20,70,62,,
2013-02-12,26,21,71,67,,
2013-02-13,50,28,72,71,,
2013-02-14,61,52,19,15,,
2013-02-15,64,50,56,33,,
2013-02-16,51,48,67,52,,
2013-02-17,31,33,86,78,,
2013-02-18,30,30,87,77,,
2013-02-19,40,27,87,80,,
2013-02-20,56,50,73,65,,
2013-02-21,58,76,53,46,,
2013-02-22,22,16,72,66,,
2013-02-23,45,14,73,72,,
2013-02-24,43,28,85,75,,
2013-02-25,20,16,85,82,,
2013-02-26,23,16,89,83,,
2013-02-27,55,25,83,69,,
2013-02-28,51,35,52,44,,
2013-03-01,46,26,63,54,,
2013-03-02,37,52,78,61,,
2013-03-03,38,33,87,77,,
2013-03-04,34,52,98,78,,
2013-03-05,40,75,84,79,,
2013-03-06,53,42,95,81,,
2013-03-07,36,21,97,88,,
2013-03-08,47,14,56,52,,
2013-03-09,51,28,21,15,,
2013-03-10,47,40,41,30,,
2013-03-11,29,39,89,71,,
2013-03-12,27,23,71,68,,
2013-03-13,28,19,89,82,,
2013-03-14,26,16,76,68,,
2013-03-15,19,7,74,68,,
2013-03-16,23,11,88,81,,
2013-03-17,20,18,100,96,,
2013-03-18,16,22,96,95,,
2013-03-19,52,8,100,97,,
2013-03-20,42,32,91,79,,
2013-03-21,33,28,79,73,,
2013-03-22,54,26,92,74,,
2013-03-23,20,18,103,95,,
2013-03-24,27,27,94,91,,
2013-03-25,13,20,94,84,,
2013-03-26,19,15,83,81,,
2013-03-27,28,22,78,71,,
2013-03-28,24,24,86,82,,
2013-03-29,36,33,84,82,,
2013-03-30,34,29,74,71,,
2013-03-31,41,25,70,64,,
2013-04-01,44,14,92,88,,
2013-04-02,16,11,99,94,,
2013-04-03,19,11,98,93,,
2013-04-04,15,9,102,96,,
2013-04-05,30,15,101,95,,
2013-04-06,18,8,99,92,,
2013-04-07,24,15,96,88,,
2013-04-08,14,11,96,93,,
2013-04-09,19,13,91,89,,
2013-04-10,22,27,93,86,,
2013-04-11,20,34,97,89,,
2013-04-12,20,27,104,93,,
2013-04-13,24,29,87,71,,
2013-04-14,24,21,109,97,,
2013-04-15,17,23,124,114,,
2013-04-16,25,23,132,124,,
2013-04-17,24,16,121,115,,
2013-04-18,26,17,130,119,,
2013-04-19,61,24,153,135,,
2013-04-20,31,26,143,136,,
2013-04-21,18,22,123,121,,
2013-04-22,27,33,96,91,,
2013-04-23,16,14,101,95,,
2013-04-24,34,17,120,103,,
2013-04-25,39,12,118,106,,
2013-04-26,19,18,124,120,,
2013-04-27,39,15,109,100,,
2013-04-28,13,23,83,78,,
2013-04-29,10,18,97,90,,
2013-04-30,18,23,92,86,,
2013-05-01,33,25,74,,,
2013-05-02,21,27,130,119,,
2013-05-03,15,26,109,96,,
2013-05-04,17,32,104,95,,
2013-05-05,21,35,129,117,,
2013-05-06,11,28,113,104,,
2013-05-07,13,,91,76,,
2013-05-08,33,19,90,70,,
2013-05-09,16,16,105,94,,
2013-05-10,28,15,136,124,,
2013-05-11,26,23,96,92,,
2013-05-12,15,11,79,73,,
2013-05-13,11,5,105,98,,
2013-05-14,16,5,110,104,,
2013-05-15,18,6,123,115,,
2013-05-16,24,10,125,114,,
2013-05-17,9,15,95,99,,
2013-05-18,20,15,85,81,,
2013-05-19,10,10,106,101,,
2013-05-20,10,7,95,90,,
2013-05-21,12,7,111,103,,
2013-05-22,11,8,112,,,
2013-05-23,15,9,119,113,,
2013-05-24,17,9,99,89,,
2013-05-25,15,5,91,83,,
2013-05-26,20,7,91,88,,
2013-05-27,25,8,116,105,,
2013-05-28,15,10,118,112,,
2013-05-29,17,12,113,103,,
2013-05-30,13,10,95,89,,
2013-05-31,22,9,85,77,,
2013-06-01,23,16,69,57,,
2013-06-02,18,14,103,94,,
2013-06-03,13,8,97,94,,
2013-06-04,14,6,106,100,,
2013-06-05,17,9,127,120,,
2013-06-06,15,11,124,112,,
2013-06-07,10,19,121,106,,
2013-06-08,18,13,136,124,,
2013-06-09,15,13,151,144,,
2013-06-10,14,15,124,109,,
2013-06-11,20,14,122,112,,
2013-06-12,20,22,134,122,,
2013-06-13,15,20,141,135,,
2013-06-14,23,12,146,138,,
2013-06-15,,12,147,141,,
2013-06-16,19,16,167,157,,
2013-06-17,19,26,135,126,,
2013-06-18,33,23,151,143,,
2013-06-19,13,23,164,156,,
2013-06-20,18,20,151,141,,
2013-06-21,26,21,163,145,,
2013-06-22,27,21,137,127,,
2013-06-23,26,16,138,129,,
2013-06-24,20,15,132,128,,
2013-06-25,20,10,84,86,,
2013-06-26,17,8,109,102,,
2013-06-27,21,6,93,97,,
2013-06-28,14,7,103,96,,
2013-06-29,16,10,97,87,,
2013-06-30,30,15,112,106,,
2013-07-01,28,28,122,115,,
2013-07-02,23,10,125,118,,
2013-07-03,22,12,150,130,,
2013-07-04,22,15,142,133,,
2013-07-05,24,16,140,128,,
2013-07-06,44,17,153,142,,
2013-07-07,19,12,128,119,,
2013-07-08,16,14,134,131,,
2013-07-09,14,19,127,122,,
2013-07-10,17,18,157,150,,
2013-07-11,17,18,169,144,,
2013-07-12,19,24,174,155,,
2013-07-13,25,18,150,132,,
2013-07-14,16,21,143,135,,
2013-07-15,13,17,135,129,,
2013-07-16,19,16,145,136,,
2013-07-17,29,19,137,128,,
2013-07-18,21,20,148,136,,
2013-07-19,23,17,144,132,,
2013-07-20,22,20,152,142,,
2013-07-21,20,23,162,154,,
2013-07-22,17,19,133,121,,
2013-07-23,24,18,152,138,,
2013-07-24,20,22,174,160,,
2013-07-25,24,24,162,146,,
2013-07-26,29,25,160,149,,
2013-07-27,16,32,164,156,,
2013-07-28,18,27,167,158,,
2013-07-29,17,21,135,132,,
2013-07-30,14,20,88,104,,
2013-07-31,19,7,111,103,,
2013-08-01,16,11,131,125,,
2013-08-02,15,17,153,146,,
2013-08-03,18,18,166,154,,
2013-08-04,25,26,172,156,,
2013-08-05,16,27,163,148,,
2013-08-06,22,27,195,178,,
2013-08-07,16,29,182,167,,
2013-08-08,13,33,131,123,,
2013-08-09,12,29,137,118,,
2013-08-10,14,21,107,93,,
2013-08-11,16,7,119,112,,
2013-08-12,14,9,115,110,,
2013-08-13,11,13,151,137,,
2013-08-14,15,18,141,130,,
2013-08-15,11,10,109,110,,
2013-08-16,11,8,118,108,,
2013-08-17,10,12,129,117,,
2013-08-18,11,14,134,127,,
2013-08-19,13,17,144,135,,
2013-08-20,9,16,136,128,,
2013-08-21,11,6,83,96,,
2013-08-22,11,6,122,108,,
2013-08-23,13,12,137,123,,
2013-08-24,11,20,140,128,,
2013-08-25,11,14,135,123,,
2013-08-26,6,10,107,103,,
2013-08-27,12,7,102,92,,
2013-08-28,9,10,97,91,,
2013-08-29,20,10,110,91,,
2013-08-30,17,11,95,89,,
2013-08-31,17,9,110,100,,
2013-09-01,18,11,117,107,,
2013-09-02,14,14,124,117,,
2013-09-03,39,9,104,100,,
2013-09-04,19,18,132,122,,
2013-09-05,16,18,153,133,,
2013-09-06,17,17,135,127,,
2013-09-07,15,11,121,106,,
2013-09-08,14,13,120,105,,
2013-09-09,14,19,102,94,,
2013-09-10,15,15,103,92,,
2013-09-11,15,12,88,83,,
2013-09-12,18,7,67,57,,
2013-09-13,18,7,89,81,,
2013-09-14,21,12,109,98,,
2013-09-15,16,14,115,103,,
2013-09-16,17,24,105,94,,
2013-09-17,36,15,87,65,,
2013-09-18,15,9,84,79,,
2013-09-19,22,6,41,60,,
2013-09-20,23,15,97,91,,
2013-09-21,23,12,75,75,,
2013-09-22,21,12,91,84,,
2013-09-23,19,12,85,78,,
2013-09-24,22,17,109,94,,
2013-09-25,34,39,128,112,,
2013-09-26,23,32,108,97,,
2013-09-27,24,29,94,78,,
2013-09-28,20,29,95,86,,
2013-09-29,15,39,88,76,,
2013-09-30,13,26,68,55,,
2013-10-01,10,4,58,54,,
2013-10-02,14,8,68,65,,
2013-10-03,14,13,77,71,,
2013-10-04,17,21,57,59,,
2013-10-05,28,18,51,48,,
2013-10-06,18,24,48,45,,
2013-10-07,14,13,54,51,,
2013-10-08,13,14,60,56,,
2013-10-09,20,28,64,58,,
2013-10-10,16,35,79,67,,
2013-10-11,16,37,70,53,,
2013-10-12,19,10,69,63,,
2013-10-13,19,12,81,67,,
2013-10-14,18,15,77,64,,
2013-10-15,26,35,27,30,,
2013-10-16,,52,31,21,,
2013-10-17,,50,46,31,,
2013-10-18,,,87,64,,
2013-10-19,30,37,92,63,,
2013-10-20,28,60,67,51,,
2013-10-21,31,86,60,52,,
2013-10-22,24,64,56,48,,
2013-10-23,28,60,37,30,,
2013-10-24,24,31,73,68,,
2013-10-25,45,15,69,64,,
2013-10-26,24,26,61,47,,
2013-10-27,38,50,32,17,,
2013-10-28,19,47,61,48,,
2013-10-29,26,54,38,29,,
